SHIPMENT ID,ORIGIN_CITY,OST,O_ZIP,DEST_CITY,DST,D_ZIP,CLASS,WEIGHT,CUBE,RETAIL SHIPMENT FLAG,LIFTGATE FLAG,Carrier 1,Carrier 2,Carrier 3,Carrier 4,Carrier 5,Carrier 6,Carrier 7,Carrier 8,Carrier 9,Carrier 10,Carrier 11,Carrier 12,Carrier 13,Carrier 14,Carrier 15,Carrier 16
100000847,DRESDEN                    ,TN,38225,CHICAGO                    ,IL,60642,70,555,52.86, Non-Retail , Liftgate Needed ,$275.90 ,$252.03 ,$161.63 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$355.54 ,$0.00 ,$265.29 ,$0.00 ,$183.98 
100000848,DRESDEN                    ,TN,38225,ALPHARETTA                 ,GA,30009,60,147,17.5, Non-Retail , Liftgate Needed ,$195.59 ,$152.50 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$180.23 ,$0.00 ,$237.08 ,$0.00 ,$127.47 
100000849,DRESDEN                    ,TN,38225,CINCINNATI                 ,OH,45236,70,126,17.03, Non-Retail , Non-Liftgate ,$208.50 ,$152.50 ,$154.91 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$180.23 ,$0.00 ,$265.29 ,$0.00 ,$128.51 
100000850,DRESDEN                    ,TN,38225,INDIANAPOLIS               ,IN,46240,60,356,27.6, Non-Retail , Non-Liftgate ,$286.11 ,"$1,104.67 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$211.07 ,$0.00 ,$265.29 ,$0.00 ,$127.47 
100000851,DRESDEN                    ,TN,38225,ARLINGTON                  ,VA,22201,60,565,35.99, Non-Retail , Non-Liftgate ,$344.09 ,$296.01 ,$321.01 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$457.06 ,$475.34 ,$355.84 ,$0.00 ,$297.24 
100000852,DRESDEN                    ,TN,38225,COLUMBUS                   ,OH,43219,70,305,33.89, Non-Retail , Non-Liftgate ,$208.50 ,"$1,297.71 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$246.60 ,$0.00 ,$366.78 ,$0.00 ,$128.51 
100000853,DRESDEN                    ,TN,38225,SARASOTA                   ,FL,34243,150,33,7.67, Non-Retail , Liftgate Needed ,$287.42 ,$152.50 ,$193.93 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$226.24 ,$0.00 ,$374.49 ,$0.00 ,$132.85 
100000854,FONTANA                    ,CA,92335,TRACY                      ,CA,95304,70,"1,892",145.54, Retail , Non-Liftgate ,$449.99 ,$0.00 ,$315.42 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$192.76 ,$0.00 ,$0.00 ,$466.11 ,"$1,082.24 ",$0.00 ,$821.64 ,$0.00 ,$0.00 
100000855,FONTANA                    ,CA,92335,TRACY                      ,CA,95304,50,"1,040",33.99, Retail , Non-Liftgate ,$332.07 ,$0.00 ,$163.73 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$106.56 ,$0.00 ,$0.00 ,$225.17 ,$512.22 ,$0.00 ,$424.63 ,$0.00 ,$0.00 
100000856,DRESDEN                    ,TN,38225,RIVERHEAD                  ,NY,11901,60,485,33.68, Non-Retail , Non-Liftgate ,$314.71 ,"$2,745.70 ",$483.46 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$448.71 ,"$1,232.62 ",$376.67 ,$0.00 ,$306.05 
